content,sentiment
yay gonna eat,happiness
agree waiting video buffer finding just reading loud faster head,neutral
computers ethernet school slow,worry
111am girls im tired,worry
route home parents 35th wedding anniversary 2day gona em 4 dinner lets c woman 2getha 4 long,love
mmmm chilli crab amp deal dealand thats life,neutral
yeah ive going month amaaaazing ill bring,happiness
yay congratulations oh newly minted graduate youll let buy lunch iced chocolates plural celebrate,happiness
yes wanna come hang htown gurl u know whats haha itll bangin gotta hang chick,happiness
ember dante fun smile harder,love
afford school,worry
schools works,sadness
just random quote love stuff like,love
does better king queens honeycomb knockoff cereal,love
hate able twitterize cell phone oh,neutral
shot calmin,worry
damn im pass 400 updates haha tweet tweet tweet,neutral
dont remember whats,surprise
love thank saying quothi jenn amp lauraquot yesterday arcadia friend shannon surprised wthe vid,surprise
hey guys im work kinda horrible,sadness
work,neutral
im wearing certain tye dye tshirt moment misses 8 counterparts,worry
happy mothers day,neutral
realizing dont school today tomorrow months really need job applications,worry
tonight cait,worry
wait transformers 2 cme shia yippiee,fun
quiet day work 2dayjust dinner whats doin,worry
oh know budgeting,worry
says np neyo music,neutral
like know asking computer help kill,hate
hmmm bout boi jammin sum john stephens ya,worry
thanks soo need day kids lol,relief
happy monday hope great week,happiness
thanks completing calvin appreciated,happiness
oh rightsorrynow yabut 3000 emailswowcool,surprise
expected warm usual im stuck wearing sun dress cold day,neutral
just bought tv tuner laptop deserve present,surprise
im trying convince wait bit doesnt want,sadness
yeah getting shows interesting process key following thats ive learned far,fun
losing money vegas,worry
watching quotwall streetquot realizing movie channel wont potty break,worry
ready celebrate weekend oh wait 15 minutes,happiness
havent laid verse,neutral
kind party got going,worry
happy mothers daaay,happiness
awww thank amp youre welcome lol,surprise
write babe feelings hurt,worry
lunch meeting prof didnt badly,neutral
sun goes,neutral
havent talked day school thats right,worry
think honeymoon good life honey moon joseph arthur,neutral
thanks,neutral
food house sugar ants,sadness
im going bed fun drunk ones ya,worry
nothings better going chinese supperinn ma fave cousins 1am,happiness
good youre comin close love tour,love
alas moving like im moving actual moving ugh wish,neutral
3yo just woke groggily walked office sleeping lap,neutral
hello thanks follow,happiness
amazing happy enjoy sunday xx,love
,neutral
ohhh likes play food heehee,neutral
yes im gmail storage ceiling argh forced delete stuff buy space,sadness
time house chores ugh,sadness
said demi wear converse dress oh baby thats just demi,worry
quotnhip nh giaquot ï½y lï½ ch cï½c bn t xng lï½ quotam mï½ nhip nhquot cï½n ngi thï½ch chp nh thï½ 99 dï½n s ri,neutral
time educated hope great start monday morning,happiness
just got home date omg fun im excited,fun
thanks elephants look magnificent miss stupid restrictions 3g pleease cheap,hate
poor little hollie steeli really did feel bgt,worry
tom town,surprise
hurts pets talk pain tell,worry
oh dont love just noting remix kids,surprise
red eye huh yikesget safe missin ya punk,relief
laptop dead lucky got fone lol,relief
lmao joey wait meet july,love
kid 3 stronger,neutral
shes truly amazing woman having phenomenal son,surprise
roflmao feel inspired start huge bonfire,sadness
im home 2 drink,surprise
far gone better expectedsure helps raised dog feel im doing things right,happiness
thanks im sure im comfortable sudden surge difficult touch every1,worry
thanks g actual birthday tuesday 24,neutral
bought new racquet 145 wish racquet half god rest despite recession things fkin costly,worry
day need work,worry
just took best friend 13 years know katie outzen quiz failed does happen just sad,worry
boffert,worry
youre teeth freak nikz,neutral
really crying shame,neutral
ready day presence im expecting best,happiness
im talking twitter,neutral
mountains,happiness
got gray hair sudden just ordered garnier roasted coffee drugstorecom goes,surprise
plopped twice twice,worry
mean hit dog car just laying,worry
starting work final year project just making test pieces flash things work listning ipod,neutral
ohhhh thunderstormsboo make power,hate
yays poker win sketchy student decided today lawl,happiness
great time flags yesterday summer friend spent night night just left im bored,happiness
shared kim hï½ltermand portfolio shared kaare finally dane iâve got honor amazing,neutral
diversity diversity diversity todayyyyyy,love
wow beautiful picture wayi straightjust wanted let know bella,love
freakyfriday slipped shower fell lucky escape just couple concussions,sadness
getting puppyyy think romeo cute,happiness
trying plan huge birthday party,neutral
cleaning room took 2w2v insisted paying ticket,fun
better physics revision x,neutral
yay plans today im seeing wednesday thursday,neutral
wack friends raiding kitchen rene love bound badluck debbie psycho korean friend lt3,neutral
great date nighttried cdcaves daniel hilariously fun,happiness
ph having macaron smackdownexcept aware itits played head,worry
invite sent invite collabs pass word,happiness
morning days wont able stay long,neutral
enjoying great sunshine indoors dont feel good today,sadness
just uploaded new blog painful story 80s year old man cried wanted die sad,sadness
love kim kardashian watch tv keeping kardashians ur blessed good looks,love
didnt know u guys acc fb hee,surprise
love video da funk daft punk,love
went twitter crazy nigh p thats happens u got nothin ta 2 oclock da mornin,neutral
weathers ugh like asthma yeah ventolin,worry
wants listen musiq soulchild ipod,sadness
hate alarm doesnt,hate
thanks stephen appreciate,happiness
heyheyheyy happy star wars day watcha doin friday movie,happiness
theme tune robin im batman,happiness
thanks new followers,neutral
heyyyyy english fans want signings,happiness
watchin family guy,happiness
designing,neutral
yay love host money breakfast jenna lee 4hrs amazing pretty sexy jenna lee yay,love
ill yall prayers welcome tx hope goodsafe flight,love
oh difficult just nuts thats market home turf,relief
shirt dinner need ask does actually ville,worry
bothered working tomorrow,sadness
just got skyfire firts impressions looks good little memory hungry ageing htc tytn,happiness
busy work loves,love
hi selena team support greece cyprus,neutral
road trip cincy limb store,fun
poor goose,worry
o job interview today im really gonna mess uuuup,worry
super keen drive home rain additional concentration required dont really wanna deal,worry
haha dude bdate p ill wish u ur bday 3oth november ill turn 16 u reply,happiness
agreedthis time year change motto quotthe soggy statequotmy backyard looks like swimming pool,hate
byeeeee,happiness
whyyy awake work 8 good,worry
hours hair wont straight,worry
spgridview looking prettier im pretty sure code ugly,sadness
finished im color drawing come,fun
sorry youre upstate ny does chilly weather really surprise fl better amp panhandle doesnt hot,neutral
bad come enjoy urself tho,sadness
hello hope flu,neutral
officially birthday guess 21 novelty birthday wears,surprise
britains got good weather wish,neutral
payroll supposed 430 headache,worry
48 days till brighton,neutral
misses quil far away nickleback,surprise
come leave gretel liked doing logies,neutral
looking girls names easier looking boys,neutral
big ginger white male cat little female tortoiseshell indoor cats rule house,happiness
rain come,worry
,neutral
school today happy day,neutral
unfortunately im drunk lol money drunk alot u imagine haha,worry
im feeling moment mhim going leave,sadness
know people say power naps good time kinda miss alarm,surprise
really good bank hoilday,happiness
just alriiightt,relief
just got home rosie surprise smiles hugs amp kisses waiting,surprise
alright dollhouse fricking awesome elishas performance weeks episode sold finally,fun
panchitos burfday party tonight wish kiddo,worry
thats whats hah im great thanks just waiting craziness,neutral
ugh fuck today doesnt look like going work im sorry,hate
flapataco nice plebs came,worry
good,worry
bout work,sadness
just got,neutral
thanks try boarding,happiness
glad u check today touch,happiness
taking souls friends family watching die nightmare trust,sadness
month bad month try advert kobold quarterly,neutral
says new layout cute x cuties hahahah,happiness
corrected,sadness
im plurk try,love
sadness air school got awards,surprise
dont power finish hour work,fun
wow hate staples right majorly thanks complete fucktards killing productivity,worry
skype laqueshaa just cuz saying theirs im loner d,neutral
problem list write usually forget ive placed it1st thing listfind list,worry
sounders game tomorrow mothers day,fun
brunch hopefully lured friends,neutral
eh june 15th going signing 18th think x,neutral
thank eric glad u appreciate,happiness
sweater sandwich hug sound fantastic right,happiness
work,neutral
probably yoot dont care grandad,neutral
mustve read mind going thunderstorming pick boys bus stop,sadness
yeeh thing drummers basically guys 2 play instrument sing im theirs p,happiness
iphone sdk amp going friends today kills,neutral
yay knew youd like shut,relief
bracelet broke today,worry
good times haha ily christian mo gonna watch dazed confused ha time watching ha im lame,relief
dont hope takes good long recover,relief
just like old days drinkin old spot,happiness
know sub sooooo good,happiness
bed hours phone gossiping bia lol nite nite sleep tight,love
thats great weee visitors,happiness
disappointed didnt win teh glassez,neutral
wow sounds way stressful job thought continuing edu making,neutral
happy mothers day beautiful mommies,worry
ampampthe night continues w fav mazie kristina ericka ampamp robin,happiness
im sorry arent feeling good mama im heading today 4 ill calling,happiness
sweet booth newport people outside,love
buy dvd seeing star trek paul weekend,neutral
gg summer sch attachment yan blog check msn ask kinny,sadness
yay das tut trotzdem weh,worry
just listened songs myspace really good,neutral
happy kurt spin,happiness
stupid fucking car service came 30 minutes make airport wish luck yall,worry
having lights concerns lol stay safe,happiness
hahahahaha lets tweet hours need,happiness
ya honey happend account,love
hopefully youre 8 meeting 8,neutral
mexican wrestler year capes probably havent build,neutral
snl justin timberlake,happiness
sooo im 20 n im just findin asthma,worry
walked 140 blocks today ate delicious black amp white cookie,relief
traumatized saddened 2 baby squirells just abandoned sidewalk,worry
wok nite shift tonite miss dm promise wont tell 0,sadness
4 days lot,neutral
hate feeling like need break away soon exams im defo portsmouth bit,hate
just going visit,neutral
im good nite,relief
im just thinking bout life need bed fiance bed,neutral
thanx tom love u great day,love
disappointed forgot tweet really inappropriate yelled foods yesterday amp remember,sadness
planted garden week ive got check,fun
fun chels nicole cried watching benjamin button exciting night say,happiness
like know theres people worse lives wish change aspects life,sadness
watched didnt want win good fightlol,surprise
canceled performance letterman im sad option,sadness
right n0w im bed egotastic r0ckshahaha,fun
getting funny feeling usually indicates im sick great,worry
time biggie,surprise
migraining todaythe naproxen sodium tablets took helping little neck killing need muscle relaxants,worry
hates scaleeeee,hate
sorry spoil didnt time,worry
hi uploaded 5 completely new chinese lessons wwwyoutubecomchineselearn feel free watch enjoy,love
thats defeatist attitude,neutral
yeah myst,happiness
didnt send text,worry
office trying solve mystery blood bathroom toilet eewwwww,fun
thanks synn,happiness
thank u u kno ppl look chest ne ways somethng throw lol,neutral
hulu desktop windows 7 media center extenders unfortunately,neutral
weirdest hives legs arms heck allergic itches bad dang,sadness
wishing famous acting dancing,neutral
gone,neutral
favorite shirt ruineddeath bleach fb,sadness
oh twas brilliant idea say say im ideas woman,happiness
ive missed year forbidden fruit trees garden munch disappointment,sadness
sippin goose amp bull night got twisted lolon way home club wet interesting night,worry
thanks followfriday suggestion,happiness
goodmornin soon saw ur pic reminded embarresing yesterday oliveramppeter fun tho xd,surprise
tuned listen 130 meeting know high schoolcollege french doesnt cut anymore,sadness
oh em im sorry wuv pieces,worry
im impressed rains bank holidays stil free day college,neutral
voted 760,relief
shall shall raises eyebrows,worry
sleepy time ltcodygt,relief
ecstatic client deed lieu monday sign amp lockbox happy satisfied client,happiness
mistakes make lessons learn dont let negativity,worry
irritated send emails receive,worry
lol sorry damn funny,worry
isnt awesome tons coming just locations,surprise
todays goal tweet work im good start havent left house welcome new followers hope bored,happiness
just let know goes,happiness
awake migrane yey tummy hurting evil ibs,worry
evening town jeremy sad carrie come,sadness
iquotm awake whats breakfast lulu shit shingle ha ha ha,fun
think theyre really good probably damns obscurity,neutral
just mother bad days,sadness
cried,sadness
downtown fun tonight walk car rediculous lol,happiness
yeah hired guy named lenny tend rabbits year,neutral
listen song start crying makes remember moments friends primary school,surprise
roman pain killers lq meds thanks jess agreeing yogurt,worry
meant seeing lot tonight tix ran,worry
jess invited just feel really unloved u aj right hahaha,sadness
err yeahme toocan sue,relief
marley saddest movie movies movie mad,sadness
searching home things cook dinner evening mothers day guess im eating,worry
just eat reallyyy good ice cream,happiness
omg beckky love shouldve won 250gs rootin hows things going,sadness
yvonne thanks 4 ffrecommend lovely profile photo agree wu quotwhat sleepquot lol 546,love
book bloggers panel listed program tomorrow 2pm room 1e15 bea09,worry
isnt,worry
im really nervous giving speech wedding tomorrow,worry
labels sorry know im really needy,surprise
seth green tells walletpop secrets financial success unbroke premieres link long,worry
boo mustve deleted phone emails,worry
say hi dan katherine zachy,neutral
morning alex hope tweeting lots today miss arent xx,sadness
yeeee wassup,neutral
demoing gary burr excited quotgirlsquot music tape missing tayla,fun
helllooooo boston legal,worry
good lord man recommend dark amp stormy casablanca,worry
united states liked eleminis,neutral
wishing money want sux money education,worry
acabou,neutral
u dont need options button right right corner,neutral
thank retweet,love
miss argh,sadness
yepsjust today badly wanted geekshopping,worry
hmm tasty going curry rice peas probably,happiness
good day lake mirror kids happy clean cabin today err outta aint bad,happiness
late night oracle 8 430,sadness
toasting 100 waffles 4 farmer kids sure eat lot,neutral
lol clever im extremely jealous followers 24,sadness
sorry lack tweets ive buzy new vid saturday,worry
yep sang song,happiness
joes photographer family rehearsing fun couple days,love
dont know bear watch hollie tommorrow nightits bit hard seeing state gets,worry
pik hair braid scrub make relaxxxx tonight fun,happiness
lol charliei miss charlie,worry
goodmorningamp happymothers day,love
sad commentary,neutral
hahalive long amp prosper movie better thought did awesome job im pleased,happiness
note im going bed happy mothers day mommy amp moms love u lady,love
aww thats bad lost,worry
ouvindo quotthe wonders dreamsquot melhor banda mundo que nunca existiu pra comeï½ar bem o dia,happiness
congratulations lovely,love
wish came true hot anymorejust rainy,relief
unbelievably shocked firing best radio personality martin streek,worry
bloody sunburned,worry
goingg school today,neutral
wish eat pizza unfortunately forbidden low gi high iron stuff lots insulin injections,worry
im wondering big rumored new large screen kindle start seeing k12 textbooks,happiness
carwarmed sprite tastes like sore throat,hate
wish werent going 19 venue vancouver,worry
okay dinner,neutral
ha dunno standing rough today hurts talk,worry
gourmet pizza bleh pizza supposed greasy filthy eat pizza thats prepared chef,worry
lol yeah yeah big perv hoping week scrapped plans,relief
,neutral
finally graduation school im sick today,worry
wish famous like d people im following,worry
ughcold dank,love
quotthe truth hiding eyesquot paramore ï½ decode,neutral
really wants puppy,love
witty say,neutral
believe im peeling half days sunshine,sadness
yay im happy got meet,happiness
ilooked phone book ur like got titi number just ur email,surprise
heading home really banging head way bus,sadness
people did wrong world blames people great world living shit,sadness
gonna teeth taken,worry
xmas week early hehe didnt min shopping,happiness
night cause fell asleep like retard agh,worry
love life guess im definately shooting good,worry
yay love new ppl wooooo,happiness
revising exams,neutral
hope run stage dayu wouldnt kick offamp u booty pop,worry
bummer book signed sigh,sadness
going bed late headache,worry
aw amp really miss alice amp charlotte tonight dunno hey spoons,sadness
home thats exactly meant home dtown computer uh brokt,worry
actually according retweets,relief
just got watchin bones topping house reruns,neutral
plans today cleaning washing clothes amp cooking pork dinner weather bit dull hoorah bank hols,sadness
time mimis,happiness
ya girliehavent heard missing cheery dispositionlol,fun
oh em gee think wonder macys know ab shipping x sorry,fun
wed night,neutral
happened missed 4 hours updates,worry
best way start day,neutral
tried sleep bout 2 tisha,worry
lost game 3 points,worry
crossing bridgeleaving ocean city im sad,sadness
want dont want mom brother,neutral
thats funny actually use haircutmight growing august woodstock anniversary party40 yrs,fun
im feeling love fitzcarraldo people mention idea talking,love
freaking loved star trek watching xmen,worry
oh lt3,worry
waiting el amp listening little mjb quotjust finequot perfect song start week,love
pulled interesting meeting urgent support request,surprise
lol considering recent debate dl im touching bad boy thing like logical ones,happiness
wanna,relief
super caught cold plane far forward line id like extra sleep dearly needed,sadness
great service time lag time posting appearance twitter small downer,neutral
ha ha funny,worry
omg trying fix pic working ugh mom wont let sleep sanzz bad day,sadness
hate traffic dallas traffic,hate
pressly anne hamm misses mommy texas,worry
omg booths hallucination latest epi bones absolutely brilliant quotyoure gud lookin guy u open mindquot lol,love
propels people change direction point wasting days lost passion,relief
morning sorry missing tweets yesterday today,neutral
college cops suspicious person group,neutral
feel like watching disney movietoo bad dont vcr anymore,sadness
ha ha ha know love love,love
aww lost 3 followers follow,hate
dog officially depressed brothers dogs gone doesnt want outside did play halfheartedly,worry
wants hear voice,sadness
wish couldve demi need throw toronto canada summer,worry
listening jubey snoring phone hehe goodnight,happiness
really want shish kebab going settle toast,sadness
really weird night night misses friends,sadness
want ride bicycle today cold cloudy today,sadness
oh jealous youre missing fried potato bread,happiness
happy birthday cheers pao,happiness
quotyou guys fun cardboard boxquot miss bro,sadness
oooh thats right zoo think 2 months time regular meeting place,worry
movies boyfriend,surprise
lmao sure did luck,sadness
wow officially life month lol friends dont believe say need book advance,surprise
visit si fr joemar dito bataan frm camiguin amp sum ofcmatesamp supposed meet saturday luwas,love
gettn ready trip jersey dads doing good needs new heartwhoeva sees say prayer dad,worry
thank just offer,love
yeah goes brings things just let called quotbird milkquot,happiness
fun flashy fed hillim sure youre imported cheeto eating ass fit lol,happiness
wow im soo hungover,worry
broody ones atm china eggs happy ish,love
hope figure,neutral
yep itï½s mothers day family ignore weï½re celebrating day lol,sadness
hold unemployment hoping completed need daughter school looking good,worry
yeah im classic cinema calendarmaking havent time,worry
dropping mum station ill miss u mum,worry
happier despite looming departure,happiness
feels ucky today need defense vitamin water dont want sick mores,worry
missed interview npr ironic listened npr day long fucking car trip watching needle looks good,surprise
bout 2 1 drink imma head da house,neutral
lots people polite tho ask approach,love
hadnt realised long tweeting im dont know say x,worry
hey sam happy mothers day,love
im wayit im coming did fun night,neutral
2night dance parties fun times amp awkward situations highlight driving w nims annie listening satellite windows downnnn,happiness
just saw zack miri make porno sooo good,surprise
thanks definitely pass amazing mother,fun
like,happiness
dont want work tomorrow dont feel good havent felt good 4 days body needs rest mind wont slow,worry
melbourne toyota coaster 1975 14950 new ad received posted hcc site soon,neutral
yay home feels great light,happiness
nice day today stuck indoors revising 3 weeks,sadness
1300 kickoff red cars hopefully,fun
yeh yeh switch cingular friends tmobile free minutes yo,happiness
working,hate
im holding audrey ericas bean bag thing,neutral
crush,love
im gonna life good exit hallway im stuck world,sadness
yooo myyyyye bust im sick tooo just shoot long night tonight,sadness
bhaha teenage nightclub home im supposed fucking license touch,hate
ugh love tila haters need shut,love
workboyz make sick,worry
better hurry wouldnt labeled copycats,worry
computer killed combo mirrors edge really poor win7 thermal management75c gpu sad game,sadness
picture day 3 yo preschooler light blue striped utton kahkis wonder color pick 3 hours,neutral
im working painting school hating sleeping damn day starting late,hate
im waiting caca stands hoping think follow caca,worry
pics later today wwwdosriosrestaurantcom,worry
glad hear bday dinner great wishing happy mothers day tomorrow,love
going alley tonitehappy birthday prima,love
jazzy vegas w team,sadness
hey socialmediatv im new recorded viewable later thanks social media tv live gt,neutral
dont think happy,worry
im school right,neutral
just rearranged living room looks huge joe saturday night,fun
good day going bed,happiness
step step ill work cheesecake master quiche,neutral
finally came shorten twitter username follow need change,worry
tonight jay leno late nigt,neutral
finally effing internet effin need update wifi sg malls idk miss dada craigie,relief
sweet dreams,love
going graduation hubbytobe feeling instead doing job hunting online,sadness
sure entire blogroll terribly updated motivate update redo,sadness
studying like crazy hopes acing exams,relief
said effed nose,neutral
lyin bed faaaaar early,neutral
3wordsaftersex started,neutral
yeah lying bed things bugger blocking creativity worse youre pinned pet cat apparently,sadness
like kind did,neutral
wooooo interesting thanks info,fun
ordering pizzas watching diggnation trying tweetdeck good,happiness
drop email ill totally,neutral
5am poorly sick baby girl,worry
shoot voted looked boo hiss forgive great weekend arik,sadness
mannnn got iphone im jealous,surprise
taking forever upload,neutral
yes finally friday im stuck doing projects,worry
ahokay,worry
voting hope voting white blank mr twitter funniset,love
whens sway sway winner announced,neutral
sorry im food calling namelolall good hi sorry havent said sooner lol,sadness
bird poo update managed clean slight stainage remains tips,neutral
snap breaking,worry
starting spoil pug brother max passed away tuesday miss,worry
evening sat night,happiness
neeeeeeeed music suggestions,sadness
cart path,neutral
ouch just burned making soup nico,worry
wedding gone home newlyweds canada finally quiet im late work,worry
wowowee willie fortune just making depressed damn love,sadness
happy star wars day,love
cool look forward frequent tweets,fun
lol split second peace truly amazing,love
excellent good,happiness
god good,neutral
id love think trek london bit,worry
tesla dealership,sadness
im upset u weekly uncle works apparently didnt know big fan,sadness
legs kill yesterday big old leak kitchen looks like staying pjs day infront tv,sadness
great daynight gabberss,happiness
thats soooo pretty havnt flowered years,love
awe thx need 2b sick friday u prayer requests,neutral
bored,neutral
great book looks fantastic want,happiness
guess ive got 20 wow impossible,happiness
summer really ending raining,love
wats racism australia nice,worry
thanks,neutral
sucks,sadness
sitting dorm waiting jordan come things say good bye graduates tomorrow,sadness
want need ps3 soon,worry
nooooo hate traffic,worry
okay im quotcrawlquot bed ummm ummm talk need talk somethings good night tweeters,neutral
communications class,neutral
bought pool instead going california pool broken wasted vacation money 23 years,hate
cousins wake,neutral
watching ard earn money dissapear,neutral
okaaayyyyy informative proves digestion doesnt place throat guess,relief
ill come shop like hour need pedicure dont time today probably week tho,neutral
mums trying make feel ebtter stopping voting adn winning shortstack cried,sadness
yeh knew wot meantkinda lol alot radio bods hereive lost count,happiness
java concurrency practice probably best java book ive bought theres recipe interrupting blocking io ops,happiness
music understands agree important single song change day,neutral
happy mothers day,love
yeah tone lost twitter unless use emoticons,neutral
awww really cute,neutral
sad economy just heard friend losing job sad just reminder,worry
know agent let know,neutral
using twitter account,neutral
life changing redhead got away,neutral
feel sounds like kiya night say comfy couch enjoy cuddles,relief
hey bow yu comin baxx 2 thaa 614 miss yu hun 614 day,worry
wanna warp pants,neutral
told verizon send 11 showed 10 gotta deal bullshit dunno long ill offline,worry
wow vicodin worked slept better updating bjadaycom job,surprise
thanks enjoy dinner tomorrow,neutral
thinking food tea,neutral
thing parents best friend,neutral
doesnt phone,neutral
oh dear im followed claims help stay young end nigh,worry
sorry ive away long exams comin plz pray yall,worry
2am havent gone sleep early hit beach shopping yays,worry
big plans thanks tonsils,sadness
67 books complaints 67 plus im book voucher,surprise
tweet later byee,neutral
lol like polar opposites ben maybe thats,love
love twitskies,love
ar15 actually qualifies gun 21 buy parts,relief
panda express long ive missed,sadness
spent entire morning meeting w vendor boss happy w lots fun plans morning,worry
depressing im stuck inside day,sadness
hate quotoutofnowherequot stuff,sadness
thrilled marathon sunday assigned street,sadness
yep looking forward,happiness
live version better,neutral
excited visited twin best friend dinner star gazing movie cool,sadness
omg 147 kim possible disney channel right glued screen,surprise
version 2 live interactive transsiberian ticket planner launched cool,relief
dont want leave secretly know australia times better america,love
miss daddy,sadness
beard addressed weeks lols,fun
happy mothers day,happiness
come u dont excited play dc,neutral
sad thought youd jumping joy,sadness
yes love seen eps time quote lines,love
phped 56 running successfuly wine ems running,happiness
kinda housemates bit frantic appeared fork hiding room need revise,worry
subway tastes better pays,happiness
lied weekend said wouldnt upset just fyi,worry
guessing thats question im struggling finish university assignment start summer,worry
try direct message twitter,neutral
love look cute,love
best friends bought really want,surprise
sucks eat burrito theyre way fun hey check,fun
tells mommy means,neutral
hey oj just want ask hooked somebody ayt,neutral
know unfortunately im bazillions americans health insurance awesome,worry
totally forgot pink radio launched today gonna listen finish assignment,neutral
thank,love
little irked moment,worry
started following queenrania change,worry
today does head hurt badly want,worry
work drink love afternoons pub,sadness
new phone zero contacts poo send message save numbers thanks,sadness
anybody seen twinster,surprise
guess lots hawks fans texas twitter,neutral
aww feel bad cause dunno nicole city looking shes probably worried srry hun,worry
ur poopy head,hate
walking tesco rhiannon hannah hide evidence lastnight,neutral
ill sure,neutral
aww bless guys cute touch bb contestants xxoo,neutral
yw gets really hot middle summer like 110 right perfect hour away,happiness
ugh hate photobucket amazing place edit pictures wwwpicnikcom use alll time,hate
oh absolutely wait lettuces come,happiness
heard illegal unless caught,neutral
great game woohoo game 6the final game,neutral
need botox work lips im going change angelina jolie thought sad racism,sadness
dismal week,worry
ridiculously warm bed,fun
pq vc nï½o pediu amor,sadness
globe theatre rocksnothing better romeo amp juliet supposed watched,happiness
ill buy,happiness
just study according notes copy youll fine,neutral
wait till tomorrow just new day,neutral
eat veggies todaymashed corn string beansbut steak,neutral
barack obama legend just watched dinner speach pretty funny,happiness
har vondt ryggen hurts,sadness
home,neutral
yep actually d hehe hi kathy,surprise
poor beta took seattle riding lap plane happy week long outagecold did,sadness
saddened felt need comment clay know dont care lost follower today,sadness
windows updates suck freaking,hate
thinks revising garden 8 morning sunscreen isnt best idea ive oucccccccch,surprise
video private,relief
yea im gonna need blunt,worry
dont worry use grief usually nearly,worry
wants wish moms happy mothers day hope youre treated like queens,surprise
jass warn b4 u nxt wari fun,fun
89 year old grandma chicago having emergency surgery today,worry
flying ontario 4 hourswill probably stay awakei 8 dayscamping 4 time yayi sleepy,happiness
haha thanks history invention television influence america lol,happiness
hahaha love u threw pets thing sooo youuu love ya,love
folks thought hilarious told story saw shirt wore tonight laughter night,fun
24 hours 400 later hav new telecom phone dosent work stupid telecom,hate
tryin figure direct message gettin frustrated,neutral
watching body liesgood film,neutral
ugh feet feel like theyre going fall,sadness
great meetinglunch patio sunshinenothing perfect busy daytime bed ahhhhh,relief
bbc malaria parasites resistant drugs really good malaria affects people,worry
weather gross outside puts bad mood,hate
heyyyyyyyy love,worry
sister graduating amp afford buy,worry
fixed favourites 180 heels fell 4 wears,sadness
heading home long week wish onther marketers follow,neutral
going,neutral
rickrolld itunes shuffle,worry
love memories like rereading favourite book,love
hahaha probably sorry weve got things houseand jareds parents house,happiness
lol sorry bout today did u amp r u guyz doinq cuz c im eligable howeva itz spelled lol,sadness
playing bubblewrap iphone beats working,fun
oh thats baby picture try convince im cute heheh,love
starting phase 1 operation quotbe productivequot pack clothes pink tank oh,worry
hm maybe louise rennison break tradition october instead order uk versions,neutral
father lucky man sounds like fighter,happiness
morning view deck,neutral
friday 5 hours im freeuntil tomorrow oh,relief
ugh sure patience remaining intelligence point day week refactor rewrite package code,worry
aw im gonna miss old username nick jonas shontelle layne sean kingston replied old username im gonna start,worry
toy story pwns,neutral
thankies pictures yetbut soon moff wash love good satdee xx,love
jealous,sadness
thunder amp lightning scarededededed,worry
sitting bed wanting work,worry
going check make sure fishies dead poor fishies,worry
day pass slowly days rawr,worry
yer benot sure thocaught brother got worse,worry
19 days counting,neutral
hope okay especially americans affected swine fluh1n1 okay pray,worry
long weekend just need good conversation thanks bro,happiness
finished practicing today bit tired,relief
idea means bb,surprise
link daughter usmobilereuterscommobilemanyarticleprdturl,neutral
liverpool,neutral
lot im bored names crissy btw lol u doinnnn,neutral
thanks joeman,love
flew washington calfornia gonna meetamp greet tomorrow,worry
haha boredbut happy mothers day,happiness
work mercedezs day,worry
im going lie im loving ace cakes wooop lost,fun
did decide dindins,neutral
got shots today lift arms,sadness
thank know really love bhb,happiness
looking person different pov thought id day arrive,worry
magic rafi singing shammi kapoor,happiness
thanks sending link,love
shopping,neutral
goddamn fucking sucks hugs,sadness
work early,worry
darn did forgetting darn quotdquot dms,sadness
awww works ok apple laptop little difference,neutral
fb im alien morning aliens arent allowed fb yayy congratses miss yew tew,love
didnt texted backk,sadness
yea feel like im bein ignored,sadness
happy early mothers day,love
mostley yellow green,neutral
arrgghhhggguuuiiissshhhh idea modern assignement burma cuba eeeep help,worry
haha thats look amazing fun,fun
hey laurenim huge fan hope having fun wango tango,love
aw going toronto anymore,sadness
weekday doing school starts week,relief
o awww leave shes ace shes fav actresses,worry
goodmorning,happiness
headed eat hubby n mommy ready drinks,love
headache hanging puffy love lt3,love
fresh change hearing write sins hey theres wrong,worry
rey mysterio awesome,happiness
night went really got cracking shots,happiness
chatting willy valdez comics,love
just realized im tomorrow goin beach wana come,happiness
reminds need pick mask 2mrw thanks prefer meds b addicted,relief
come save packing,love
ok saw u joey thought u looked interesting like things sanctuarysunday,happiness
twas good liked ciaras song time bed gnight,happiness
12 man texting telling wants come overi say im tiredlolda punk says hell bring redbull kfc,surprise
dont wanna work 11830 tomorrow paid,sadness
imnot aloud youbut think awesomeilyxx,worry
great hoping run 40mins ended doing 3907 woo hoo gotta love c25k,love
making hot chocolate almond milk mother day festivities starting early,happiness
thunder scaring hell megeezi hate thunder better loose electricity fb,surprise
gotta play wall tho,neutral
tripping tiredness nottt nice,neutral
lol sucks,neutral
just got doing work day great boss,happiness
loved sun today did love black suit black plus 6 trainstubes meeting need shop summer,sadness
rideyes liquor come,happiness
im praying family beav im sorry loss,worry
answered dm sent need info,worry
hahah best thank god terry laughing hard miss remember racing trucks,love
gay marriage isnt legal,worry
poor balcony sealer guy stuck rain,worry
finally able flight control ipod best game app 123 damn choppers lol,relief
just woke updont want work 4,sadness
earlier expected bye bye bay area,sadness
location thing ubertwitterit option include locations jon uses uber lol,surprise
storm coming way,worry
tweet story x,neutral
